Fighter,KD,Strikes,TD,Sub,Win_Rate,Total_Matches
AJ Dobson,0.0,55.0,1.5,0.0,0.0,1.0
AJ Fletcher,0.0,53.75,1.0,0.75,25.0,1.5
Aalon Cruz,0.0,1.0,0.0,0.0,0.0,1.0
Aaron Brink,0.0,0.0,0.0,0.0,0.0,1.0
Aaron Phillips,0.0,25.0,0.0,0.25,0.0,1.5
Aaron Riley,0.0,34.4,0.85,0.125,32.5,4.5
Aaron Rosa,0.0,51.25,0.0,0.0,25.0,1.5
Aaron Simpson,0.5666666666666667,40.88333333333333,2.916666666666667,0.35,63.33333333333333,5.5
Aaron Wilkinson,0.0,0.0,1.0,0.0,0.0,1.0
Abdul Razak Alhassan,0.75,23.983333333333334,0.48333333333333334,0.0,55.0,5.5
Abdul-Kerim Edilov,0.0,77.0,2.0,1.0,100.0,1.0
Abel Trujillo,0.2833333333333333,24.833333333333336,1.3333333333333335,0.3,56.666666666666664,5.5
Abner Lloveras,0.0,94.0,2.0,0.0,0.0,1.0
Abu Azaitar,0.0,78.0,0.5,0.0,50.0,1.0
Abubakar Nurmagomedov,0.0,36.0,1.0,0.0,75.0,1.5
Abus Magomedov,1.0,7.0,0.0,0.0,100.0,1.0
Adam Cella,0.0,2.0,0.0,0.0,0.0,1.0
Adam Fugitt,0.0,42.5,2.5,0.0,50.0,2.0
Adam Milstead,0.0,31.75,0.0,0.0,25.0,2.0
Adam Wieczorek,0.0,20.666666666666668,0.3333333333333333,0.3333333333333333,66.66666666666666,3.0
Adam Yandiev,0.0,1.0,0.0,0.0,0.0,1.0
Adlan Amagov,0.5,26.5,3.0,0.0,100.0,1.0
Adrian Serrano,0.0,6.0,0.0,0.0,0.0,1.0
Adrian Yanez,1.0833333333333333,49.16666666666667,0.0,0.0,100.0,2.5
Adriano Martins,0.2,15.1,0.55,0.5,55.0,3.5
Adriano Santos,0.0,11.0,2.0,0.0,0.0,1.0
Aiemann Zahabi,0.41666666666666663,33.25,0.25,0.0,58.33333333333333,2.5
Ailin Perez,0.0,16.0,1.0,0.0,0.0,1.0
Aisling Daly,0.0,40.25,1.75,0.5,75.0,1.5
Akbarh Arreola,0.6666666666666666,23.166666666666664,0.5,0.16666666666666666,16.666666666666664,2.0
Akihiro Gono,0.5,29.25,1.25,0.5,50.0,1.5
Akira Corassani,0.0,26.375,0.5,0.0,50.0,3.0
Al Iaquinta,0.4722222222222222,47.833333333333336,0.4722222222222222,0.25,58.33333333333333,7.5
Alan Baudot,0.25,41.75,0.0,0.0,0.0,2.0
Alan Belcher,0.13636363636363635,22.477272727272727,0.34090909090909094,0.6022727272727273,48.86363636363637,7.5
Alan Jouban,0.4090909090909091,49.77272727272727,0.18181818181818182,0.09090909090909091,36.36363636363637,6.5
Alan Omer,0.0,46.5,1.5,0.0,0.0,1.0
Alan Patrick,0.125,21.583333333333336,2.083333333333333,0.16666666666666666,50.0,5.0
Alatengheili,0.25,34.875,1.625,0.0,75.0,3.0
Albert Cheng,0.0,5.0,0.0,0.0,0.0,1.0
Albert Duraev,0.0,49.25,1.5,0.5,75.0,1.5
